年份,省份,固定电话用户_万户,固定电话用户_比上年增减_万户,移动电话用户_万户,移动电话用户_比上年增减_万户,3G移动电话用户_万户,3G移动电话用户_占比_%,4G移动电话用户_万户,4G移动电话用户_比上年增减_万户,4G移动电话用户_占比_%,5G移动电话用户_万户,5G移动电话用户_占比_%,移动互联网用户_万户,移动互联网用户_比上年增减_万户,互联网宽带接入用户_万户,互联网宽带接入用户_比上年增减_万户,FTTH_O用户_万户,FTTH_O用户_比上年增减_万户,100M_1000M用户_万户,100M_1000M用户_比上年增减_万户,1000M及以上用户_万户,1000M及以上用户_比上年增减_万户,城市宽带接入用户_万户,农村宽带接入用户_万户,互联网电视用户_万户,互联网电视用户_比上年增减_万户,电信业务总量_上年不变单价_亿元,电信业务总量同比_%,固定电话主叫通话时长_万分钟,固定电话主叫通话时长同比_%,其中_国际及港澳台通话时长_万分钟,移动电话通话时长_万分钟,通话时长同比_%,去话通话时长_万分钟,去话同比_%,来话通话时长_万分钟,来话同比_%,移动互联网流量_万GB,流量同比增长率_%,短信业务量_万条,点对点短信_万条,彩信业务量_万条,固话互联互通时长_万分钟,固话互联互通同比_%,移动互联互通时长_万分钟,移动互联互通同比_%,短信互联互通_万条,短信互联互通同比_%,光缆线路长度_公里,长途光缆长度_公里,移动电话交换机容量_万户,移动电话基站_万个,3G基站_万个,4G基站_万个,5G基站_万个,互联网宽带接入端口_万个,FTTH_O端口_万个,互联网省际出口带宽_Mbps,省际出口带宽同比增减_Mbps,电信业务收入_万元,电信业务成本_万元,电信利润总额_万元,资产总额_万元,固定资产原值_万元,全部从业人员期末人数_人,电信固定资产投资_万元,固定电话普及率_部每百人,移动电话普及率_部每百人,互联网宽带接入普及率_%,城市互联网宽带接入普及率_%,农村互联网宽带接入普及率_%,家庭互联网宽带接入普及率_%
2020,贵州,223.1,-6.6,4093.5,43.8,44.5,1.1,3360.9,80.6,82.1,,,3597.4,77.3,1002.4,109.5,912.2,98,913.7,164,3.5,3.3,778.1,224.3,688.1,80.8,443,24.1,86797.6,-20.2,4.9,14303240.4,-2.9,7177271.7,-2.4,7125968.7,-3.4,638807,38.6,2449103.6,207650,30872.9,67642.2,-6.1,2310359.1,1.4,79160.7,-20.4,1230460,35463,6702,27.9,3.2,18.3,0,1744.5,1592.8,18337280,3310880,3140452.4,2111649.9,468675.4,5371190.2,8197610.1,17950,895158.6,5.8,106.2,26,38,12.4,68.8
2020,云南,274.6,-13.2,4953.4,90.4,37,0.7,3834.5,134.6,77.4,,,3945.4,116.1,1278.1,122,1174.5,113.3,1153.8,339.1,3.4,3.3,874.1,404,814.4,146.3,503,25.2,173510.9,-27.5,16,17153248.4,-1.3,8509223.4,-1.5,8644025,-1,712404.1,44.3,3647650.7,228199.1,93976.7,105488.5,-8.4,1969141.5,0.7,74959.9,-23.4,2222145,59529,6194,33.1,2.7,21.5,0,2218,2048.3,17550000,3750000,3751633.1,2503028.9,541480.6,6730549.1,10415529.7,21261,1082833.2,5.8,104.9,27.1,37,17.1,69.6
2020,西藏,75.7,4.1,321.9,0.5,7.6,2.4,268.9,3.6,83.5,,,279.1,11.8,96.3,4.9,93.1,5.9,85.3,15.2,0.1,-0.1,71.6,24.8,49.8,-6.5,52.9,36,14558.7,275.8,16.2,1324107.4,-0.8,680584.4,-7.7,643523,7.7,56444.2,64.2,256089.4,78517.3,5411.4,31943.1,-22.8,261848.5,-19.1,12330.7,-26.5,247669,40607,2820,5.6,1.4,2.8,0,219,203,2045900,1170970,538599.9,516748.2,-173824,1616833.9,2294777.7,4865,295012.2,20.8,88.2,26.4,54.9,10.6,75.9
2020,陕西,637,-4.7,4589.7,-50.8,68.7,1.5,3733.1,-62.1,81.3,,,3876.2,36.4,1369,171.3,1239.6,136.5,1252.4,230.1,7.3,6.9,1022.4,346.6,994.1,137.1,417.5,17.9,237711.3,-24.3,36.2,12695284.3,-7.5,6278873,-7.5,6416411.3,-7.5,516736.9,31.4,6086015.3,163673.2,162757.3,131825.6,-17.6,2457867.9,-6.1,68768.5,-33.9,1695298,40257,5071.3,29.2,3.6,19.3,0,2576.5,2276.1,21560000,-9230000,3520185.2,2534839.1,331897.7,6367304.3,10474413.6,29095,991344,16.1,116.1,34.6,41.3,23.5,85
2020,甘肃,309.8,-22,2673.8,-77.3,49.6,1.9,2175.4,-30.1,81.4,,,2298.6,-24.4,931.4,60.7,896.8,66.6,841.4,49.3,20.6,11.1,595.4,336,644.8,32.8,262.5,22.2,75197.9,-16.1,7.1,7613362,-7.2,3733200.2,-7,3880161.9,-7.3,319035.2,40.5,1884318.1,121123.8,22920.2,51998.3,-10.3,1475257.8,-9.6,49772.7,-21.9,938821,39961,5549.6,18.6,4.3,10.8,0,1460.6,1404.4,14826880,2376320,1907509.5,1563783.2,-97059.1,3908971.4,6459385.6,15135,627106.3,12.4,106.9,37.2,45.6,28.1,87.2
2020,青海,132.1,6.7,659.4,-13.7,11.8,1.8,552.8,-4.3,83.8,,,581.1,16.5,182,7.4,170.6,7,176.9,17.7,1,1,131.9,50.1,125.4,6.3,75,21.3,22572.5,-32.3,0.4,1696077,-10.5,858417.1,-7.8,837659.9,-13.2,105268.7,38.3,676834.7,36074.3,17873,12263.8,-10.4,367671.3,-7.7,13265.2,-12.4,375296,43616,927,5.7,0.8,3.8,0,412.8,403.6,4220000,1080000,535656.7,491589.8,-114592.6,1367137.3,2233573.5,5933,236921.8,22.3,111.3,30.7,37,21.2,75.3
2020,宁夏,51.4,-2.5,839.2,10.9,11,1.3,692,9.9,82.5,,,712.7,27,283.6,24.6,276.1,24.9,275,43.7,0.8,0.5,221.9,61.7,232.8,18.7,89.2,22.6,26748.1,-7,2.6,2157191.8,-6.7,1087194.2,-6.7,1069997.6,-6.8,115767.2,32.3,802072.9,80459.8,10350.9,18731.1,-7.8,431812.2,-7.2,18827.1,-31.1,269378,10463,1633,5.3,0.6,3.5,0,550,543.2,4440000,300000,596382,535706.4,-93107.7,1376293.3,2312848.9,6105,216757.8,7.1,116.5,39.4,47.4,24.4,100.1
2020,新疆,403.3,-13.6,2846.6,101.6,611.1,21.5,1637.3,146.7,57.5,,,2359.2,221,883.9,108,857.1,119.3,773.5,105.9,3.3,2.9,648.2,235.6,746.7,106.9,314,36.1,174231.1,-23.1,9.8,12628385.6,0.5,6430033.1,-1,6198352.4,2.1,372772.7,65.3,2096743.3,178409,181018.4,121955.5,13.1,2795896.5,-0.9,82564.2,-26.3,1402370,47079,6618,21.8,3,14.1,0,1943.8,1792.7,8500000,3480000,2366204.8,2018990,-219150.6,4923894.1,8679050.3,20539,754406.1,16,112.8,35,44.4,21,91.9
2020,辽宁,540.5,-88.1,4873.8,-9.8,103.4,2.1,4059.8,116.7,83.3,,,3921.8,-140.5,1331.2,100.8,1277.2,118.9,1214.1,134.3,1.9,1.8,1254.3,77,648.1,59.9,379.3,20,349873.3,-14.4,415.5,14707289.1,-6.2,7342302.4,-5.7,7364986.8,-6.7,402866.6,30.6,2886816.4,137204.1,50946.3,204295,-14.5,2282531.8,-7.1,37284.8,-40.6,1644879,23141,6795.2,30.4,3.8,18.7,0,3305.2,3064.2,25684800,10399520,3681225.8,2680559.4,282490.9,7625899,13216948.2,33173,1091709.5,12.7,114.4,31.3,40.8,6.5,69.2
2020,吉林,417.8,-39.6,2870.1,-27.6,72.4,2.5,2321.8,104.2,80.9,,,2445,140.2,654.2,35.9,604.9,46.7,576.8,48.1,0.3,0.2,541.6,112.6,319.4,35.6,226,21.3,140165.8,15,153.2,8017295,-7.9,3984789.3,-7.5,4032485.7,-8.2,282103.5,28.7,1704463.5,72578.8,30099.2,96975.9,-6,1474966.5,-8,25708.9,-50.6,909123,26743,5143,14.7,2.4,9.1,0,1651.2,1525.9,11780000,760000,1599067.3,1445620.7,-216692.2,3797288.9,7573861.5,22718,582668.9,17.4,119.2,27.2,35.9,12.5,63.8
